total_consumption;date;hour
2.559;2.04.2022;4
1.931;2.04.2022;5
1.938;2.04.2022;6
2.075;2.04.2022;7
3.986;2.04.2022;8
5.375;2.04.2022;9
6.217;2.04.2022;10
4.993;2.04.2022;11
4.088;2.04.2022;12
2.648;2.04.2022;13
3.626;2.04.2022;14
4.619;2.04.2022;15
4.112;2.04.2022;16
4.467;2.04.2022;17
5.135;2.04.2022;18
4.189;2.04.2022;19
4.068;2.04.2022;20
5.971;2.04.2022;21
5.906;2.04.2022;22
3.122;2.04.2022;23
2.493;2.04.2022;24
90.607;2.04.2022;Kokku
2.509;3.04.2022;1
2.176;3.04.2022;2
2.267;3.04.2022;3
1.949;3.04.2022;4
2.249;3.04.2022;5
2.054;3.04.2022;6
2.378;3.04.2022;7
3.509;3.04.2022;8
4.617;3.04.2022;9
4.929;3.04.2022;10
5.43;3.04.2022;11
4.59;3.04.2022;12
6.695;3.04.2022;13
5.485;3.04.2022;14
5.809;3.04.2022;15
7.257;3.04.2022;16
8.44;3.04.2022;17
8.16;3.04.2022;18
7.134;3.04.2022;19
4.833;3.04.2022;20
6.324;3.04.2022;21
5.077;3.04.2022;22
2.551;3.04.2022;23
4.118;3.04.2022;24
110.54;3.04.2022;Kokku
2.181;4.04.2022;1
1.839;4.04.2022;2
1.914;4.04.2022;3
2.016;4.04.2022;4
2.063;4.04.2022;5
2.379;4.04.2022;6
3.663;4.04.2022;7
4.798;4.04.2022;8
3.816;4.04.2022;9
2.343;4.04.2022;10
2.836;4.04.2022;11
2.85;4.04.2022;12
2.762;4.04.2022;13
3.244;4.04.2022;14
3.243;4.04.2022;15
4.804;4.04.2022;16
4.978;4.04.2022;17
3.558;4.04.2022;18
4.348;4.04.2022;19
4.852;4.04.2022;20
5.915;4.04.2022;21
6.976;4.04.2022;22
3.276;4.04.2022;23
2.128;4.04.2022;24
82.782;4.04.2022;Kokku
2.141;5.04.2022;1
2.247;5.04.2022;2
2.082;5.04.2022;3
1.958;5.04.2022;4
2.331;5.04.2022;5
2.793;5.04.2022;6
3.192;5.04.2022;7
4.206;5.04.2022;8
3.778;5.04.2022;9
3.135;5.04.2022;10
2.693;5.04.2022;11
2.537;5.04.2022;12
3.975;5.04.2022;13
4.676;5.04.2022;14
4.77;5.04.2022;15
6.057;5.04.2022;16
4.015;5.04.2022;17
5.027;5.04.2022;18
5.821;5.04.2022;19
3.771;5.04.2022;20
5.503;5.04.2022;21
3.858;5.04.2022;22
2.296;5.04.2022;23
2.432;5.04.2022;24
85.294;5.04.2022;Kokku
2.139;6.04.2022;1
2.113;6.04.2022;2
1.996;6.04.2022;3
2.748;6.04.2022;4
2.41;6.04.2022;5
2.753;6.04.2022;6
2.905;6.04.2022;7
3.283;6.04.2022;8
4.226;6.04.2022;9
3.293;6.04.2022;10
3.687;6.04.2022;11
3.336;6.04.2022;12
3.482;6.04.2022;13
2.881;6.04.2022;14
2.363;6.04.2022;15
2.79;6.04.2022;16
3.707;6.04.2022;17
4.578;6.04.2022;18
5.443;6.04.2022;19
5.16;6.04.2022;20
4.728;6.04.2022;21
3.536;6.04.2022;22
2.811;6.04.2022;23
2.035;6.04.2022;24
78.403;6.04.2022;Kokku
2.318;7.04.2022;1
2.124;7.04.2022;2
2.244;7.04.2022;3
2.911;7.04.2022;4
2.222;7.04.2022;5
2.618;7.04.2022;6
3.114;7.04.2022;7
3.996;7.04.2022;8
4.23;7.04.2022;9
2.355;7.04.2022;10
2.64;7.04.2022;11
3.273;7.04.2022;12
2.197;7.04.2022;13
2.893;7.04.2022;14
3.162;7.04.2022;15
5.001;7.04.2022;16
4.22;7.04.2022;17
4.57;7.04.2022;18
3.493;7.04.2022;19
3.551;7.04.2022;20
4.311;7.04.2022;21
5.101;7.04.2022;22
3.008;7.04.2022;23
1.837;7.04.2022;24
77.389;7.04.2022;Kokku
1.92;8.04.2022;1
2.291;8.04.2022;2
1.846;8.04.2022;3
2.13;8.04.2022;4
2.069;8.04.2022;5
2.585;8.04.2022;6
2.456;8.04.2022;7
3.299;8.04.2022;8
4.448;8.04.2022;9
4.212;8.04.2022;10
2.681;8.04.2022;11
2.853;8.04.2022;12
5.371;8.04.2022;13
4.863;8.04.2022;14
3.096;8.04.2022;15
3.356;8.04.2022;16
2.751;8.04.2022;17
3.664;8.04.2022;18
5.756;8.04.2022;19
4.712;8.04.2022;20
6.239;8.04.2022;21
3.324;8.04.2022;22
2.751;8.04.2022;23
2.086;8.04.2022;24
80.759;8.04.2022;Kokku
2.552;9.04.2022;1
1.687;9.04.2022;2
1.98;9.04.2022;3
2.725;9.04.2022;4
1.929;9.04.2022;5
2.047;9.04.2022;6
2.471;9.04.2022;7
3.431;9.04.2022;8
6.305;9.04.2022;9
7.88;9.04.2022;10
4.95;9.04.2022;11
4.653;9.04.2022;12
4.217;9.04.2022;13
2.701;9.04.2022;14
2.926;9.04.2022;15
2.819;9.04.2022;16
2.54;9.04.2022;17
3.248;9.04.2022;18
4.103;9.04.2022;19
3.035;9.04.2022;20
4.811;9.04.2022;21
3.376;9.04.2022;22
2.128;9.04.2022;23
2.778;9.04.2022;24
81.292;9.04.2022;Kokku
2.181;10.04.2022;1
3.335;10.04.2022;2
3.355;10.04.2022;3
3.44;10.04.2022;4
3.04;10.04.2022;5
2.369;10.04.2022;6
